R0001,財團法人台北市松山慈祐宮,道教,松山區慈祐里八德路4段761號,25.0502713,121.5792777
R0002,妙光寺,佛教,士林區福林里至善路1段138巷24弄8號,25.095246,121.539497
R0003,財團法人台北市妙德蘭若,佛教,士林區永福里仰德大道2段41巷24號,25.105691,121.542447
R0004,慈悟寺,佛教,士林區天母里中山北路7段219巷167號,25.1335497,121.5326456
R0005,財團法人台北市南海普陀山慧濟寺,佛教,士林區天母里中山北路7段190巷34之1號,25.12634,121.536201
R0006,金鶴宮,道教,士林區東山里東山路25巷112號,25.1204351,121.5434943
R0007,妙法寺,佛教,士林區溪山里至善路3段307號,25.1231955,121.5871085
R0008,台北府城隍廟,道教,松山區慈祐里虎林街3號,25.047184,121.577092
R0009,松山霞海城隍廟,道教,松山區慈祐里八德路4段439號,25.04991,121.5701706
R0010,松山慈福宮,道教,松山區慈祐里八德路4段829巷26號,25.0481251,121.5588088
R0011,財團法人台北市放生念佛會,佛教,松山區吉仁里延吉街33號,25.045785,121.5537171
R0012,法光寺,佛教,松山區復勢里光復北路60巷20號,25.049964,121.55694
R0013,福德宮,道教,松山區吉祥里八德路4段181巷16弄11號,25.0493555,121.5630858
R0014,財團法人台北市中崙福成宮,道教,松山區福成里市民大道4段71號,25.0453464,121.5469414
R0015,台北佛教蓮社,佛教,松山區東光里南京東路5段59巷29弄4號,25.052986,121.5595848
R0016,台北天后宮,道教,萬華區西門里成都路51號,25.042788,121.506328
R0017,新約龍華佛教聖國山保安堂,佛教,萬華區富民里康定路188巷4弄6號,25.0389215,121.5014116
R0018,財團法人台北市木柵忠順廟,道教,文山區順興里中崙路13號,24.9836509,121.564602
R0021,巖清寺,佛教,萬華區銘德里環河南路3段203號,25.021578,121.492334
R0022,指南宮,道教,文山區指南里萬壽路115號,24.9798453,121.5866321
R0023,艋舺青山宮,道教,萬華區青山里貴陽街2段218號,25.0399968,121.4995367
R0024,松山福德宮,道教,松山區慈祐里饒河街92號,25.050362,121.5733519
R0025,大橋頭福德廟,道教,大同區景星里迪化街2段22號,25.0638831,121.5092222
R0026,劍童廟,道教,松山區復勢里八德路3段199巷1號,25.0492059,121.5564034
R0028,松山慈惠堂,道教,信義區中行里福德街251巷33號,25.0365198,121.5874838
R0031,真光禪寺,佛教,信義區中行里福德街221巷200號,25.0319844,121.5872537
R0032,興雅福德宮,道教,信義區敦厚里永吉路30巷30號,25.0445431,121.5686602
R0034,松山靈隱寺,佛教,信義區松隆里松山路臨677之15號,25.0250149,121.581444
R0036,真聖堂,佛教,大同區朝陽里延平北路2段61巷16號,25.0554591,121.5121658
R0037,石泉巖,佛教,信義區黎忠里臥龍街431巷50號,25.0221379,121.547111
R0038,狀元廟,道教,信義區惠安里吳興街336巷52號,25.024967,121.565366
R0039,代天殿靈雲宮,道教,信義區三犁里信義路5段150巷22弄43號,25.02761,121.571265
R0040,三張犁福佑宮,道教,信義區三犁里信義路5段150巷18之1號,25.028035,121.569028
R0041,財團法人台北市圓通學苑,佛教,大安區錦華里潮州街58之1號,25.0292094,121.5236371
R0042,觀音禪院,佛教,大安區民炤里新生南路1段137巷 6號,25.0369351,121.5333001
R0043,財團法人台北市白雲禪寺,佛教,大安區義安里安和路2段20巷2號,25.0322614,121.5521868
R0044,龍雲寺,佛教,大同區景星里延平北路3段18巷1號,25.0639842,121.5107951
R0045,福興宮,道教,大安區光信里延吉街 263號,25.0339961,121.5570086
R0046,福景宮,道教,大安區通化里光復南路698號,25.0297093,121.5571721
R0047,木柵集應廟,道教,文山區木柵里保儀路76號,24.9873579,121.568494
R0048,法雲寺,佛教,大安區民炤里新生南路1段165巷5之1號,25.0343423,121.5335244
R0049,財團法人台北市天德堂總堂,天德教,大安區黎和里和平東路3段596號,25.0130443,121.5633931
