鄉鎮市區,土地區段位置或建物區門牌,建築完成年月,編號
文山區,臺北市文山區政大一街291號,1031113,RPVNMLNLLHKFFAA57CA
文山區,臺北市文山區政大一街250號,1031113,RPOOMLNLLHKFFAA96CA
文山區,臺北市文山區政大一街255號,1031113,SPOOMLNLLHKFFAA07CA
內湖區,臺北市內湖區新富街65號,1031020,RPOOMLKLMHKFFCA96CA
內湖區,臺北市內湖區新富街69號,1031020,RPTOMLKLMHKFFCA47CA
內湖區,臺北市內湖區新富街88號,1031020,RPUOMLKLMHKFFCA57CA
內湖區,臺北市內湖區新富街78號,1031020,RPVOMLKLMHKFFCA67CA
松山區,臺北市松山區北寧路22號,1031007,RPVOMLTKLHKFFDA48CA
內湖區,臺北市內湖區民權東路六段218巷42號,1031003,RPOQMLOLLHKFFCA47CA
內湖區,臺北市內湖區民權東路六段218巷32號,1031003,RPWQMLPLLHKFFCA38CA
內湖區,臺北市內湖區民權東路六段218巷36號,1031003,RPXQMLPLLHKFFCA48CA
南港區,臺北市南港區經貿二路235巷55號,1031002,RPVNMLLMLHKFFDA77CA
南港區,臺北市南港區經貿二路235巷31號,1031002,RPWNMLKKMHKFFDA67CA
南港區,臺北市南港區經貿二路235巷49號,1031002,RPXNMLKKMHKFFDA77CA
中正區,臺北市中正區羅斯福路三段58巷9號,1031001,RPWNMLMLMHKFFAA67CA
士林區,臺北市士林區中山北路七段74號,1030811,RPPQMLRLLHKFFEA08CA
文山區,臺北市文山區興隆路二段203巷153號,1030808,RPROMLRKLHKFFAA57CA
文山區,臺北市文山區興隆路二段203巷172號,1030808,RPSOMLRKLHKFFAA67CA
文山區,臺北市文山區興隆路二段203巷176號,1030808,RPPQMLTKLHKFFAA77CA
信義區,臺北市信義區吳興街284巷16號,1030805,RPRNMLKKMHKFFDA17CA
信義區,臺北市信義區吳興街284巷21號,1030805,RPPOMLTJMHKFFDA87CA
信義區,臺北市信義區吳興街284巷10號,1030805,RPQOMLTJMHKFFDA97CA
信義區,臺北市信義區吳興街284巷29號,1030805,RPPNMLNKMHKFFDA27CA
信義區,臺北市信義區吳興街284巷5號,1030805,RPTOMLTJMHKFFDA28CA
信義區,臺北市信義區吳興街284巷23號,1030805,RPUOMLTJMHKFFDA38CA
南港區,臺北市南港區三重里重陽路493號,1030618,RPTPMLKKMHKFFDA57CA
中山區,臺北市中山區興亞里吉林路18號,1030530,RPXNMLRJMHKFFCA28CA
中山區,臺北市中山區吉林路7號,1030530,RPUOMLRJMHKFFCA08CA
中山區,臺北市中山區長春路102號,1030529,RPQOMLTJMHKFFCA87CA
文山區,臺北市文山區指南路三段62號,1030513,RPQRMLOLLHKFFAA57CA
北投區,臺北市北投區石牌路一段39巷131弄20號,1030508,RPROMLTKLHKFFEA18CA
士林區,臺北市士林區中山北路五段829巷55號,1030411,RPWNMLSKLHKFFEA48CA
大同區,臺北市大同區延平北路一段135號,1030408,RPOOMLKMLHKFFBA86CA
文山區,臺北市文山區三福街64號,1030127,RPVNMLKKMHKFFAA27CA
文山區,臺北市文山區羅斯福路六段129號,1030108,RPQNMLRLLHKFFAA47CA
信義區,臺北市信義區吳興街600巷100弄27號,1030108,RPSOMLLMLHKFFDA57CA
南港區,臺北市南港區研究院路二段61巷3號,1021230,RPQOMLNLLHKFFDA47CA
文山區,臺北市文山區久康街172號,1021217,RPTOMLKLLHKFFAA17CA
內湖區,臺北市內湖區新豐街41號,1021216,RPUPMLLMLHKFFCA77CA
內湖區,臺北市內湖區安泰街114巷16號,1021128,RPUNMLOKMHKFFCA77CA
內湖區,臺北市內湖區安泰街114巷6號,1021128,RPVNMLOKMHKFFCA87CA
北投區,臺北市北投區公□路231巷24號,1021119,RPPNMLLJMHKFFEA07CA
信義區,臺北市信義區基隆路一段29號,1021107,RPQNMLTJMHKFFDA87CA
南港區,臺北市南港區研究院路二段98巷19號,1020808,RPPOMLMJMHKFFDA17CA
南港區,臺北市南港區向陽路162巷113號,1020805,RPVPMLOKMHKFFDA18CA
內湖區,臺北市內湖區文湖街81巷43號,1020802,RPVNMLLJMHKFFCA47CA
內湖區,臺北市內湖區康樂街136巷18弄33號,1020625,RPRRMLRJMHKFFCA08CA
南港區,臺北市南港區園區街7號,1020521,RPSNMLQJMHKFFDA77CA
內湖區,臺北市內湖區康寧路三段189巷21弄26號,1020506,RPQOMLSLLHKFFCA97DA
北投區,臺北市北投區行義路16號,1020403,RPQPMLKLMHKFFEA47CA
內湖區,臺北市內湖區南京東路六段260號,1011226,RPUNMLKMLHKFFCA47CA
內湖區,臺北市內湖區南京東路六段250號,1011226,RPVPMLNLMHKFFCA08CA
文山區,臺北市文山區木柵路四段159巷12弄15號,1011129,RPOSNLOLLHKFFAA67DA
內湖區,臺北市內湖區新湖三路184號,1011128,RPQNMLTKLHKFFCA77CA
士林區,臺北市士林區德行東路113號,1011123,RPTOMLPLLHKFFEA08CA
士林區,臺北市士林區德行東路118號,1011123,RPTPMLPKMHKFFEA18CA
大安區,臺北市大安區光復南路707號,1011120,RPPNMLLJMHKFFFA17CA
萬華區,臺北市萬華區漢中街7號,1011120,RPRNMLLJMHKFFBA96CA
士林區,臺北市士林區承德路四段312號,1011109,RPPOMLLJMHKFFEA17CA
文山區,臺北市文山區萬芳路107巷1號,1010919,RPPOMLNLLHKFFAA07CA
文山區,臺北市文山區萬芳路107巷6號,1010919,RPQNMLQLLHKFFAA37CA
文山區,臺北市文山區萬芳路107巷24號,1010919,RPQNMLLJMHKFFAA76CA
文山區,臺北市文山區福興路106巷44號,1010827,RPPPMLTJMHKFFAA67CA
中正區,臺北市中正區師大路199號,1010824,RPRNMLLMLHKFFAA07CA
大同區,臺北市大同區歸綏街128號,1010809,RPTOMLLJMHKFFBA37DA
文山區,臺北市文山區景興路177巷27號,1010605,RPXNMLKLLHKFFAA47CA
內湖區,臺北市內湖區港華街93號,1010515,RPPNMLTJMHKFFCA67CA
中山區,臺北市中山區長安東路二段171號,1010409,RPWOMLQLLHKFFCA28CA
大同區,臺北市大同區酒泉街10巷26號,1010403,RPPNMLQLLHKFFBA37CA
北投區,臺北市北投區西安街一段196號,1010320,RPWPMLSJMHKFFEA68CA
南港區,臺北市南港區東新街118巷35號,1010314,RPOOMLPLLHKFFDA57DA
南港區,臺北市南港區東新街118巷70號,1010314,RPOOMLLMLHKFFDA27DA
南港區,臺北市南港區東新街118巷89號,1010314,RPORMLLLMHKFFDA47CA
北投區,臺北市北投區大度路三段270巷78號,1010217,RPWNMLRLLHKFFEA58DA
北投區,臺北市北投區大度路三段270巷83號,1010217,RPSNMLRLLHKFFEA18DA
北投區,臺北市北投區大度路三段270巷73號,1010217,RPSNMLQJMHKFFEA87CA
北投區,臺北市北投區大度路三段270巷77號,1010217,RPTNMLSLLHKFFEA28CA
北投區,臺北市北投區大度路三段270巷67號,1010217,RPORMLLMLHKFFEA57CA
大安區,臺北市大安區瑞安街135巷25號,1010119,RPWNMLNLLHKFFFA18CA
南港區,臺北市南港區三重路41巷31號,1010119,RPVPMLLMLHKFFDA08DA
士林區,臺北市士林區福德路31巷20號,1010112,RPRPMLTKLHKFFEA28CA
