SNO,RELIGION_TYPE,CB_NAME,CB_SNAME,PTNAME1,V_NAME,CB_REG_TITLE,PRESIDENT_NAME,CB_TEL,TOTAL_ADDR,R_STREET,R_SECTION,R_LANE,R_ALLEY,R_NO,R_OTHER,TOTAL_ADDR_rebuild,WGS84_Y_rebuild,WGS84_X_rebuild,WGS84_X,WGS84_Y,TM97_X,TM97_Y,DATA_STR,REG_NO,CB_PRESIDENT_NAME,total_addr2
R0088,財團法人寺廟,財團法人台北市聖靈寺,聖靈寺,中正區,林興里,佛教,釋今能,23655959,汀州路3段10號,汀州路,3段,,,10號,,中正區林興里汀州路3段10號,25.018013,121.5278519,121.527881,25.0180354,303277.056,2767878.993,農曆4月13日|,101證他字第471號登記簿第40冊第39頁第882號,,
R0089,財團法人寺廟,財團法人台北市十普寺,十普寺,中正區,頂東里,佛教,蕭鴻川,23679824,南昌路2段140號,南昌路,2段,,,140號,,中正區頂東里南昌路2段140號,25.0252509,121.5228224,121.522836,25.02523704,302764.729,2768674.691,農曆4月8日|,101證他字第739號登記簿第20冊第21頁第292號,,
R0090,未成立財團法人寺廟,祥光寺,祥光寺,文山區,政大里,佛教,高榮華,29390543,萬壽路63號,萬壽路,,,,63號,,文山區政大里萬壽路63號,24.9840112,121.5884123,121.5889385,24.98836052,309453.733,2764617.394,農曆2月19日(觀世音菩薩誕辰)|農曆6月19日|農曆9月18日|農曆9月19日|農曆9月20日|,北市民三字第09730233900號,,
R0091,財團法人寺廟,財團法人台北市艋舺龍山寺,龍山寺,萬華區,富民里,佛教,黃欽山,23025162,廣州街211號,廣州街,,,,211號,,萬華區富民里廣州街211號,25.0369897,121.4999272,121.4999356,25.03677838,300448.864,2769944.381,農曆2月19日|農曆6月19日|農曆9月19日|,103證他字第910號登記簿第14冊第9頁第195號,,
R0092,財團法人寺廟,財團法人台北市淨土宗善導寺,善導寺,中正區,梅花里,佛教,了中,23415758,忠孝東路1段23號,忠孝東路,1段,,,23號,,中正區梅花里忠孝東路1段23號,25.0449793,121.5248634,121.5248382,25.04496524,302958.332,2770860.733,農曆4月8日|,103證他字第882號登記簿第3冊第1頁第28號,,
R0093,財團法人寺廟,財團法人台北市北安宮,北安宮,萬華區,頂碩里,道教,辛玉池,23021881,,西藏路,,,,256號,,萬華區頂碩里西藏路256號,25.0297039,121.5015587,121.5015854,25.02976307,300618.232,2769167.883,農曆3月23日(天上聖母聖誕)|,104證他字第315號登記簿第32冊第53頁第649號,,
R0094,財團法人寺廟,財團法人台北市臺灣省城隍廟,城隍廟,中正區,光復里,道教,詹鈴權,23615080,武昌街1段14號,武昌街,1段,,,14號,,中正區光復里武昌街1段14號,25.0440379,121.512715,121.5127647,25.04396878,301740.432,2770745.668,國曆10月25日(光復節)|,103證他字第1576號登記簿第27冊第11頁第478號,,
R0095,未成立財團法人寺廟,集義宮,集義宮,萬華區,富福里,道教,高王燦,23067676,,康定路,,,,249號,,萬華區富福里康定路249號,25.0348806,121.5014515,121.5012894,25.03491032,300586.272,2769737.964,農曆2月15日|農曆6月18日|農曆10月10日|,北市民宗字第10430604100號,,
R0096,財團法人寺廟,財團法人台北市華嚴蓮社,華嚴蓮社,中正區,幸市里,佛教,許傳齡,23513868,濟南路2段44號,濟南路,2段,,,44號,,中正區幸市里濟南路2段44號,25.0403801,121.5306206,121.5306622,25.04040563,303548.002,2770357.948,農曆1月6日(春節)|國曆4月5日(清明節)|農曆4月8日(浴佛節)|農曆7月15日(中元節)|,104證他字第213號登記簿第35冊第51頁第738號,,
R0097,財團法人寺廟,財團法人台北市法華寺,法華寺,萬華區,仁德里,佛教,黃書瑋,23120437,西寧南路194號,西寧南路,,,,194號,,萬華區仁德里西寧南路194號,25.0389232,121.5061857,121.5059633,25.03878547,301056.353,2770168.944,農曆每月17日|,101證他字第806號登記簿第4冊第7頁第46號,,
R0100,未成立財團法人寺廟,慈雲寺,,萬華區,福星里,佛教,張雙雙,23515254,漢口街2段119、121、123號,漢口街,2段,,,119、121、123號,,萬華區福星里漢口街2段119、121、123號,25.0464399,121.5041572,121.5059633,25.03878547,300855.6882,2771015.449,農曆1月1日|農曆1月9日|農曆4月8日|農曆6月19日|,北市民宗字第10331779300號,,
R0101,未成立財團法人寺廟,寶藏巖,,中正區,水源里,佛教,林忠輝,23675713,,汀州路,3段,230巷,,23號,,中正區水源里汀州路3段230巷23號,25.0104591,121.5331528,121.5331425,25.0104614,303811.391,2767042.114,農曆2月19日|,北市民宗字第10333301800號,,
R0102,未成立財團法人寺廟,長慶廟,,中正區,板溪里,道教,何二郎,23653426,晉江街34號,晉江街,,,,34號,,中正區板溪里晉江街34號,25.0250569,121.521855,121.5218443,25.02510288,302664.745,2768659.453,,,,
R0103,未成立財團法人寺廟,通法寺,,中正區,螢圃里,佛教,林和睦,23653573,,廈門街,,34巷,,15號,,中正區螢圃里廈門街34巷15號,25.0260964,121.5170223,121.5218443,25.02510288,302174.5136,2768762.938,農曆1月1日(春節)|農曆4月8日(浴佛節)|農曆6月19日|農曆7月26日|,北市民宗字第10331730000號,,
R0104,未成立財團法人寺廟,光華寺,,中正區,螢雪里,佛教,朱文印,23032373,,水源路,,,,157號,,中正區螢雪里水源路157號,25.0238855,121.5156403,121.5155269,25.02392068,302027.622,2768526.043,農曆2月19日|農曆6月19日|農曆9月19日|,北市民宗字第10331704900號,,
R0106,未成立財團法人寺廟,蓮雲禪苑,,中正區,三愛里,佛教,程秀,23515258,,連雲街,,74巷,,5號,,中正區三愛里連雲街74巷5號,25.0344793,121.5297491,121.5297462,25.03445743,303458.154,2769698.724,農曆4月10日|,北市民宗字第10331767500號,,
R0107,財團法人寺廟,財團法人台北市萬和宮,,大同區,鄰江里,道教,王惠,25965316,迪化街2段304號,迪化街,2段,,,304號,,大同區鄰江里迪化街2段304號,25.0716442,121.5119936,121.5297462,25.03445743,301656.012,2773808.671,農曆2月2日|,100證他字第309號登記簿第12冊第37頁第249號,,
R0108,未成立財團法人寺廟,青雲宮,,大同區,民權里,道教,張袖傑,25571606,,民權西路,,160巷,30弄,7號,,大同區民權里民權西路160巷30弄7號,25.0612868,121.515763,121.5157686,25.06131503,302036.276,2772668.153,農曆4月26日|,北市民宗字第10331667700號,,
R0109,未成立財團法人寺廟,法主公廟,,大同區,朝陽里,道教,陳麗玉,25562964,南京西路344巷2號,南京西路,,344巷,,2號,,大同區朝陽里南京西路344巷2號,25.0538121,121.5120999,121.5120182,25.05374027,301660.999,2771827.66,農曆9月22日|,北市民宗字第10430443900號,,
R0110,未成立財團法人寺廟,慈光寺,慈光寺,文山區,萬芳里,佛教,黃聖峰,22302306,萬芳路26巷5號,萬芳路,,26巷,,5號,,文山區萬芳里萬芳路26巷5號,24.9951219,121.569087,121.5691466,24.99533195,307452.387,2765381.116,農曆4月8日(釋迦牟尼佛誕辰)|,北市民宗字第10330158600號,,
R0111,未成立財團法人寺廟,菩提講堂,,大同區,建泰里,佛教,陳金梅,25585736,,南京西路,,18巷,4弄,2號,,大同區建泰里南京西路18巷4弄2號,25.052249,121.520098,121.5200925,25.05225923,302476.367,2771666.761,農曆4月8日|,北市民宗字第10330175200號,,
R0112,未成立財團法人寺廟,先天道院,先天道院,萬華區,孝德里,一貫道,袁翥鶚,23056278,,寶興街,,188巷,,2號,,萬華區孝德里寶興街188巷2號,25.0233879,121.495113,121.4951051,25.02333185,299966.878,2768453.14,農曆6月15日|,北市民宗字第10333263100號,,
R0114,未成立財團法人寺廟,真修寺,真修寺,文山區,華興里,佛教,周誠雄,22368348,試院路134號,試院路,,,,134號,,文山區華興里試院路134號,24.9900348,121.547469,121.5461564,24.99058538,305133.791,2764845.808,農曆4月8日(釋迦牟尼佛誕辰)|,北市民宗字第10430062700號,,
R0115,財團法人寺廟,財團法人台北市至善堂,,大同區,延平里,佛教,施建仁,25570903,保安街49巷16號,保安街,,49巷,,16號,,大同區延平里保安街49巷16號,25.0595168,121.5118901,121.5118746,25.05958715,301644.102,2772475.288,農曆9月15日(天元古佛龍華勝會)|,102證他字第33號登記簿第北3冊第41頁第000645號,,
R0116,未成立財團法人寺廟,青龍宮,青龍宮,萬華區,和平里,道教,黃資源(代),23066456,,雙園街,,60巷,,88號,,萬華區和平里雙園街60巷88號,25.0288,121.4924206,121.4924401,25.02882328,299695.67,2769060.457,農曆5月4日|,,,
R0117,未成立財團法人寺廟,艋舺龍津宮,龍津宮,萬華區,菜園里,道教,林招皇,23117849,長沙街2段184號,長沙街,2段,,,184號,,萬華區菜園里長沙街2段184號,25.0413016,121.4996984,121.4997127,25.04131018,300424.489,2770446.242,農曆9月5日|,北市民宗字第10330180600號,,
R0118,未成立財團法人寺廟,北門口福聚宮,,大同區,玉泉里,道教,陳正賢,25550051,,延平北路,1段,,,68號,,大同區玉泉里延平北路1段68號,25.0514449,121.511746,121.5118135,25.05162551,301641.254,2771593.361,農曆2月2日(福德正神誕辰)|,北市民宗字第10330068500號,,
R0119,財團法人寺廟,財團法人台北市聖觀寺,,大同區,光能里,佛教,林麗貞,25588066,赤峰街33巷1號,赤峰街,,33巷,,1號,,大同區光能里赤峰街33巷1號,25.0542379,121.519555,121.5195226,25.05425094,302418.013,2771887.149,農曆3月16日|農曆6月19日|,101證他字第311號登記簿第北3冊第97頁第000826號,,
R0120,未成立財團法人寺廟,祠宇媽祖宮,,大同區,延平里,道教,莊家聲,25539978,,保安街,,49巷,,17號,,大同區延平里保安街49巷17號,25.0602462,121.5121836,121.5119608,25.06023199,301652.538,2772546.745,農曆3月23日|,,,
R0121,未成立財團法人寺廟,台北霞海城隍廟,,大同區,永樂里,道教,陳文文,25580346,迪化街1段61號,迪化街,1段,,,61號,,大同區永樂里迪化街1段61號,25.0556001,121.510168,121.5101435,25.0556187,301471.057,2772035.018,農曆5月6日(迎神)|農曆5月13日|,北市民宗字第10332509900號,,
R0122,未成立財團法人寺廟,景美集應廟,景美集應廟,文山區,景行里,道教,高義秀,29348446,景美街37號,景美街,,,,37號,,文山區景行里景美街37號,24.991715,121.5418336,121.5418832,24.99169616,304701.858,2764967.125,農曆1月未填日|農曆2月1日|農曆2月2日|農曆10月15日|,北市民宗字第10233218400函,,
R0123,未成立財團法人寺廟,瞿公真人廟,,大同區,朝陽里,道教,林后俊,25586595,天水路49-1號,天水路,,,,49-1號,,大同區朝陽里天水路49-1號,25.0528578,121.5127639,121.5127741,25.05292442,301737.612,2771737.599,農曆8月9日|,北市民三字第09731299100號,,
R0124,未成立財團法人寺廟,樹人書院文昌祠,,大同區,老師里,道教,陳錫彰,25992878,,迪化街,2段,364巷,,14號,,大同區老師里迪化街2段364巷14號,25.0729262,121.5121429,121.5127741,25.05292442,301668.0208,2773957.265,農曆2月3日|,北市民宗字第10333269300號,,
R0125,未成立財團法人寺廟,助順將軍廟,助順將軍廟,萬華區,萬壽里,佛教,洪祝顯,23716144,康定路9、11、13號,康定路,,,,9、11、13號,,萬華區萬壽里康定路9、11、13號,25.0439929,121.5032664,121.5127741,25.05292442,300789.3157,2770951.438,農曆10月2日|,北市民宗字第10333290100號,,
R0126,財團法人寺廟,財團法人台北市普濟寺,,大同區,建明里,佛教,楊吉宗,25587046,華陰街100號,華陰街,,,,100號,,大同區建明里華陰街100號,25.0505139,121.5141042,121.5127741,25.05292442,301872.8927,2771469.065,農曆2月19日|農曆6月19日|農曆9月19日|,103證他字第219號登記簿第北2冊第57頁第000363號,,
R0127,未成立財團法人寺廟,妙覺精舍,妙覺精舍,萬華區,和平里,佛教,陳張鐘,23089005,,雙園街,,21巷,,50號,,萬華區和平里雙園街21巷50號,25.0305674,121.4953312,121.4952756,25.03061328,299981.117,2769259.735,,,,
R0128,未成立財團法人寺廟,台北朝天宮,朝天宮,萬華區,和平里,道教,蔡水道,23061510,,雙園街,,,,27號,,萬華區和平里雙園街27號,25.0295151,121.4947008,121.4946696,25.02950298,299920.394,2769136.536,農曆3月23日|,北市民宗字第10332551600號,,
R0129,未成立財團法人寺廟,蓮池寺,蓮池寺,萬華區,柳鄉里,佛教,劉清銓,23060053、23021606、23061734,桂林路246巷48號,桂林路,,246巷,,48號,,萬華區柳鄉里桂林路246巷48號,25.0367829,121.4925774,121.4925227,25.03679811,299700.799,2769943.828,農曆4月8日|,北市民宗字第10332444800號,,
R0131,未成立財團法人寺廟,慈善總堂,,南港區,中研里,道教,陳榮,27822419,,研究院路,2段,,,83號,,南港區中研里研究院路2段83號,25.0386939,121.617652,121.4925227,25.03679811,312328.7065,2770207.594,農曆9月9日|,北市民宗字第10332452800號,,
R0132,未成立財團法人寺廟,台北市大慈佛社,台北市大慈,文山區,華興里,佛教,楊芷芸,22366040,試院路4巷22號,試院路,,4巷,,22號,,文山區華興里試院路4巷22號,24.989497,121.550484,121.5504275,24.98950752,305565.427,2764728.204,農曆4月8日|,北市民宗字第10331769100號,,
R0133,未成立財團法人寺廟,玉成公園福德宮,,南港區,鴻福里,道教,周永興,27862892,中坡南路51號,中坡南路,,,,51號,,南港區鴻福里中坡南路51號,25.042706,121.584023,121.5841129,25.04258301,308940.69,2770621.358,農曆2月2日|,北市民宗字第10430495200號,,
R0134,未成立財團法人寺廟,明心禪寺,,南港區,九如里,佛教,賴淑綿,27823083,,研究院路,3段,280巷,,1號,,南港區九如里研究院路3段280巷1號,25.0339048,121.6132319,121.6069847,25.03008027,311254.905,2769246.636,農曆每月18日|,北市民宗字第10331779200號,,
R0135,未成立財團法人寺廟,新福宮,,南港區,東新里,道教,闕河平,27850722,,南港路,2段,238巷,,2號,,南港區東新里南港路2段238巷2號,25.0544717,121.5973153,121.5972694,25.05443708,310262.488,2771940.147,農曆2月2日|,北市民三字第09232868200號,,
R0136,未成立財團法人寺廟,金山寺,,南港區,中南里,佛教,卓麗珠,27830342,中南街168巷1號,中南街,,168巷,,1號,,南港區中南里中南街168巷1號,25.05097,121.614079,121.6140564,25.05095655,311958.009,2771562.245,農曆6月19日(觀音佛祖聖誕)|,北市民宗字第10330964000號,,
R0137,未成立財團法人寺廟,富南宮,,南港區,新富里,道教,張朝買,27837134,,研究院路,1段,,,112、114號,,南港區新富里研究院路1段112、114號,25.0518833,121.6158311,121.6140564,25.05095655,312139.222,2771661.059,農曆3月23日|,北市民宗字第10331705100號,,
R0138,未成立財團法人寺廟,西新福壽宮,,南港區,西新里,道教,劉芳子,27887999,,成功路,1段,,,臨79號,,南港區西新里成功路1段臨79號,25.0528421,121.5926508,121.5926713,25.05770129,309796.94,2772299.682,農曆2月2日(土地公聖誕)|農曆7月20日(中元普渡)|農曆8月10日(土地公聖誕)|,民三09630136500號通知辦第4次總登,,
R0140,未成立財團法人寺廟,福德祠,,內湖區,紫雲里,道教,陳東源,27900442,,康寧路,1段,,,236號,,內湖區紫雲里康寧路1段236號,25.078219,121.596523,121.5961525,25.07800445,310138.315,2774550.17,農曆2月3日|,北市民宗字第10332407700號,,
R0145,未成立財團法人寺廟,台北護國延平宮,,內湖區,金瑞里,道教,王慶文,27934700,,內湖路,3段,348巷,,6號,,內湖區金瑞里內湖路3段348巷6號,25.0913789,121.583492,121.5834557,25.0914116,308850.998,2776029.621,農曆7月14日(中元地官大帝暨鄭成功壽誕)|,北市民三字第 09231431600 號,,
R0147,未成立財團法人寺廟,東方寺,,士林區,公館里,佛教,彭世珠,28616170,,永公路,,245巷,,24號,,士林區公館里永公路245巷24號,25.123166,121.559056,121.5590183,25.12317871,306371.468,2779537.978,農曆4月8日(釋迦牟尼佛聖誕)|,北市民宗字第10330193900號,,
R0148,未成立財團法人寺廟,湧泉寺,,士林區,臨溪里,佛教,釋天陽,28411597,劍南路211號,劍南路,,,,211號,,士林區臨溪里劍南路211號,25.098878,121.5554273,121.5554477,25.09889824,306022.438,2776846.983,農曆4月8日|,北市民宗字第10331006700號,,
R0149,未成立財團法人寺廟,昭明寺,,士林區,福林里,佛教,柯寶祝,28821581,,中山北路,5段,,,56號,,士林區福林里中山北路5段56號,25.08333,121.526498,121.5264179,25.08316846,303101.288,2775092.96,農曆2月19日|,北市民宗字第10330962400號,,
R0150,財團法人寺廟,財團法人台北葫蘆寺,,士林區,葫蘆里,佛教,翁仁義,"2,815,059,528,150,510",延平北路5段285巷35號,延平北路,5段,285巷,,35號,,士林區葫蘆里延平北路5段285巷35號,25.0851998,121.5083529,121.5086008,25.08534568,301303.063,2775327.263,農曆2月19日|農曆6月19日|農曆9月18日|,102證他字第83號登記簿第2冊第75頁第000444號,,
R0151,未成立財團法人寺廟,淨光寺,,士林區,天母里,佛教,詹舜華,28718214、28327991,,中山北路,7段,190巷,,113之3號,,士林區天母里中山北路7段190巷113之3號,25.1277775,121.5374509,121.5373184,25.12799861,304181.135,2780062.927,農曆4月8日|,北市民宗字第10330184400號,,
R0152,未成立財團法人寺廟,永明寺,,士林區,永福里,佛教,黃謝鶴,28616651,,仰德大道,2段,100巷,,20號,,士林區永福里仰德大道2段100巷20號,25.1070245,121.547824,121.5478443,25.10704487,305251.87,2777746.235,農曆4月6日|,北市民宗字第10332532400號,,
R0153,未成立財團法人寺廟,共和宮,,士林區,社新里,道教,林德勝,28124828,社子街117號,社子街,,,,117號,,士林區社新里社子街117號,25.0882206,121.5052961,121.5052587,25.08824218,300964.749,2775646.825,農曆3月3日|,北市民宗字第 10332551400號,,
R0154,未成立財團法人寺廟,吉祥寺,,士林區,東山里,佛教,彭陳金葉,28715692,,東山路,,25巷,81弄,40號,,士林區東山里東山路25巷81弄40號,25.123436,121.541429,121.5414502,25.12335553,304599.832,2779550.29,農曆4月8日|,,,
R0155,財團法人寺廟,財團法人台北市士林神農宮,,士林區,舊佳里,道教,何逸松,"2,832,495,528,351,190",前街74號,前街,,,,74號,,士林區舊佳里前街74號,25.0978071,121.5263809,121.5264388,25.09781352,303097.028,2776715.09,農曆5月18日|,101證他字第407號登記簿第2冊第21頁第40號,,
R0157,未成立財團法人寺廟,士林街福德宮,,士林區,義信里,道教,張文聰,28819326,,大南路,,,,138號,,士林區義信里大南路138號,25.0898766,121.522881,121.5264388,25.09781352,302732.0896,2775849.617,農曆2月2日|,北市民宗字第10330911700號,,
R0158,未成立財團法人寺廟,圓明寺,,士林區,臨溪里,佛教,王春梅,28411596,,劍南路,,203巷,,1號,,士林區臨溪里劍南路203巷1號,25.099817,121.55545,121.5562155,25.09941848,306099.641,2776904.922,農曆7月3日|,北市民宗字第10330166500號,,
R0159,未成立財團法人寺廟,芝山巖惠濟宮,,士林區,名山里,道教,黃光烈,28311728,,至誠路,1段,326巷,,26號,,士林區名山里至誠路1段326巷26號,25.1029989,121.5307227,121.5562155,25.09941848,303528.7335,2777293.398,農曆2月15日|,北市民宗字第10131402500號,,
R0160,未成立財團法人寺廟,報恩寺,,士林區,福林里,佛教,鐘玉英,28812588,中山北路5段102號,中山北路,5段,,,102號,,士林區福林里中山北路5段102號,25.0851419,121.526251,121.5262022,25.08512548,303078.679,2775309.64,農曆4月8日|,北市民宗字第10331788200號,,
R0161,未成立財團法人寺廟,天母三玉宮,,士林區,天福里,道教,林文男,28754000、28713000,天母東路6號,天母東路,,,,6號,,士林區天福里天母東路6號,25.1180726,121.5304596,121.5262022,25.08512548,303517.0973,2778957.518,農曆3月15日|農曆4月26日|農曆9月15日|,北市民宗字第10333314800號,,
R0162,未成立財團法人寺廟,淨因寺,,士林區,臨溪里,佛教,謝江麗英,28412935,,劍南路,,,,201號,,士林區臨溪里劍南路201號,25.0993742,121.5547498,121.5563622,25.09991606,306114.201,2776960.099,農曆2月19日|,北市民宗字第10331002500號,,
R0163,未成立財團法人寺廟,飛龍寺,,士林區,東山里,佛教,劉勁初,28614139,東山路25巷81弄62號,東山路,,25巷,81弄,62號,,士林區東山里東山路25巷81弄62號,25.1212797,121.5415862,121.5366893,25.13275166,304115.572,2780589.16,農曆4月8日|,北市民宗字第10333241300號,,
R0164,未成立財團法人寺廟,承德福德宮,,士林區,承德里,道教,陳福隆,25914158,,後港街,,38巷,,5之1號,,士林區承德里後港街38巷5之1號,25.0826989,121.5229614,121.5366893,25.13275166,299697.9781,2773285.38,,,,
R0165,未成立財團法人寺廟,啟明佛寺,,士林區,仁勇里,佛教,柯來春,28816709,,大西路,,,,54號,,士林區仁勇里大西路54號,25.0910077,121.5247298,121.5366893,25.13275166,302926.7987,2775962.706,農曆4月8日|,北市民宗字第10331644200號,,
R0166,未成立財團法人寺廟,九蓮寺,,士林區,臨溪里,道教,謝章鈞,28411089,,劍南路,,203巷,,6號,,士林區臨溪里劍南路203巷6號,25.0998477,121.5559437,121.5366893,25.13275166,306015.6742,2776858.257,農曆1月15日|農曆1月17日|農曆8月24日|農曆8月26日|農曆9月8日|,北市民宗字第10330059500號,,
R0167,財團法人寺廟,財團法人台北市北投區慈生宮,,北投區,立農里,道教,潘國隆,28227410,,立農街,1段,,,321號,,北投區立農里立農街1段321號,25.1196844,121.5070204,121.5070059,25.11968836,301127.883,2779130.578,農曆4月24日|,102證他字第88號登記簿第北2冊第99頁第000502號,,
R0168,財團法人寺廟,財團法人台北市善光寺,,北投區,林泉里,佛教,吳照明,28912726,溫泉路銀光巷20號,溫泉路,,銀光巷,,20號,,北投區林泉里溫泉路銀光巷20號,25.1355315,121.5187138,121.5189026,25.13579225,302320.794,2780918.938,農曆1月1日|,103證他字第222號登記簿第北1冊第39頁第00081號,,
R0169,未成立財團法人寺廟,祖師禪林,,北投區,大屯里,佛教,羅火旺,28932241,復興三路198號,復興三路,,,,198號,,北投區大屯里復興三路198號,25.149641,121.504994,121.5052424,25.14967769,300937.711,2782451.737,農曆7月18日|,北市民宗字第10330189800號,,
R0171,未成立財團法人寺廟,北投天寶聖道宮,,北投區,林泉里,道教,陳金生,28956003,幽雅路杏林巷5之1號,幽雅路,,杏林巷,,5之1號,,北投區林泉里幽雅路杏林巷5之1號,25.1386281,121.5142171,121.5189422,25.13825462,302323.744,2781191.708,農曆10月15日|,北市民宗字第10331667900號,,
R0172,未成立財團法人寺廟,靈法寺,,北投區,開明里,佛教,高玉英,28932060,,長壽路,,,,20號,,北投區開明里長壽路20號,25.142855,121.504041,121.5189422,25.13825462,300819.5022,2781695.614,農曆1月9日|,北市民宗字第10431303700號,,
R0173,未成立財團法人寺廟,觀音禪院,,北投區,奇岩里,佛教,洪美美,28915345,崇仰一路11號,崇仰一路,,,,11號,,北投區奇岩里崇仰一路11號,25.1250789,121.5089833,121.5133226,25.12699462,301761.833,2779942.277,農曆7月未填日|農曆11月未填日|,北市民宗字第10331636300號,,
R0174,未成立財團法人寺廟,法藏寺,,北投區,林泉里,佛教,林珠,28912314,溫泉路156號,溫泉路,,,,156號,,北投區林泉里溫泉路156號,25.1392508,121.5135149,121.5133226,25.12699462,301779.359,2781317.414,農曆11月17日|,北市民宗字第10333267000號,,
R0175,未成立財團法人寺廟,福安宮,,北投區,溫泉里,道教,陳炳文,28911456,,公館路,,85巷,2弄,2號,,北投區溫泉里公館路85巷2弄2號,25.1311062,121.5048052,121.5133226,25.12699462,300903.0515,2780396.747,農曆8月14日(法會)|農曆8月15日|,北市民宗字第10332529000號,,
R0176,未成立財團法人寺廟,陽明山慈惠堂,,北投區,溫泉里,道教,陳天來,28914336,,奇岩路,,,,17號,,北投區溫泉里奇岩路17號,25.1337645,121.5079906,121.5079585,25.13379154,301218.046,2780693.095,農曆7月18日|,北市民宗字第10333306800號,,
R0177,未成立財團法人寺廟,台北市關渡玉女宮,,北投區,關渡里,道教,洪源順,28581800,,大度路,3段,301巷,,222號,,北投區關渡里大度路3段301巷222號,25.11754,121.463939,121.4638061,25.11744979,296772.347,2778867.034,農曆5月15日|,北市民宗字第10430457600號,,
R0179,未成立財團法人寺廟,照明淨寺,,北投區,奇岩里,佛教,李生傳,28941362,,崇仰七路,,,,51、53號,,北投區奇岩里崇仰七路51、53號,25.1316103,121.5138024,121.4638061,25.11744979,301832.6847,2780451.432,農曆4月8日|,北市民三字第09232764700號,,
R0180,未成立財團法人寺廟,上清宮,,北投區,大屯里,道教,周美淑,28932307,復興三路230巷29號,復興三路,,230巷,,29號,,北投區大屯里復興三路230巷29號,25.1526629,121.5053295,121.5050849,25.15246186,300920.674,2782760.076,農曆5月5日|,北市民宗字第10332447900號,,
R0181,未成立財團法人寺廟,桃源福德宮,,北投區,桃源里,道教,簡芳明,28918371,中央北路3段62號,中央北路,3段,,,62號,,北投區桃源里中央北路3段62號,25.1382485,121.48513,121.5050849,25.15246186,298918.8373,2781184.046,農曆8月10日|,北市民宗字第101314783000號,,
R0182,未成立財團法人寺廟,安國寺,,北投區,大屯里,佛教,張優理,28964558,,復興三路,,101巷,,10號,,北投區大屯里復興三路101巷10號,25.147095,121.503518,121.5035766,25.14707689,300770.798,2782163.027,農曆4月8日(法會)|,北市民宗字第10333318400號,,
R0183,未成立財團法人寺廟,陽明黃帝神宮,,北投區,大同里,軒轅教,林國基,28919050,,豐年路,1段,20巷,,1號,,北投區大同里豐年路1段20巷1號,25.1342659,121.49809,121.4981778,25.13437766,300231.582,2780754.351,農曆3月3日|,北市民宗字第10332485600號,,
R0184,未成立財團法人寺廟,北投代天府,,北投區,大同里,道教,陳永章,28912767,,豐年路,1段,,,35之1號,,北投區大同里豐年路1段35之1號,25.1338969,121.4976867,121.4976982,25.13390277,300183.413,2780701.571,農曆6月15日|,,,
R0185,財團法人寺廟,財團法人台北市法雨寺,,北投區,泉源里,佛教,陳志明,28916762,,登山路,,,,108號,,北投區泉源里登山路108號,25.1480559,121.517728,121.5176996,25.1475774,302194.492,2782223.872,農曆2月8日|農曆8月8日|,103證他字第385號登記簿第北2冊第69頁第405號,,
R0186,財團法人寺廟,財團法人台北市北投區靈山大慈寺,,北投區,泉源里,佛教,邱慧君,"28916795,28731516-8",,登山路,,,,85號,,北投區泉源里登山路85號,25.1506831,121.5154323,121.5157169,25.15008089,301993.541,2782500.403,農曆7月6日|農曆7月7日|農曆7月8日|,102證他字第174號登記簿第北1冊第27頁第000048號,,
R0187,未成立財團法人寺廟,台北慈惠堂,,北投區,立農里,道教,潘義雄,28218524,,吉利街,,,,27號,,北投區立農里吉利街27號,25.1181848,121.5049648,121.5049948,25.11820253,300925.686,2778965.249,農曆7月18日|,北市民三字第 09232378800 號,,
R0188,未成立財團法人寺廟,福星宮,,北投區,福興里,道教,蔡柳池,28235574,自強街5巷22號,自強街,,5巷,,22號,,北投區福興里自強街5巷22號,25.1104513,121.5123589,121.5123718,25.11046022,301672.911,2778110.475,農曆3月23日(法會)|,北市民宗字第10331034000號,,
R0189,財團法人寺廟,財團法人台北市北投慈后宮,,北投區,清江里,道教,林正雄,"2,891,532,328,388,850",清江路169號,清江路,,,,169號,,北投區清江里清江路169號,25.1282374,121.5019863,121.5019793,25.12826932,300617.44,2780079.176,農曆3月23日|,101證他字第155號登記簿第北2冊第55頁第000357號,,
R0190,未成立財團法人寺廟,彌陀寺,,北投區,泉源里,佛教,淨良,28912393,,東昇路,,,,3號,,北投區泉源里東昇路3號,25.1445549,121.521114,121.5211169,25.1445613,302540.311,2781891.119,農曆4月8日|,北市民宗字第10333579400號,,
R0192,財團法人寺廟,財團法人台北市關渡宮,,北投區,關渡里,道教,黃正雄,28581281,知行路360號,知行路,,,,360號,,北投區關渡里知行路360號,25.1176841,121.4643868,121.4640387,25.11763934,296795.736,2778888.108,農曆3月23日|農曆9月9日|,103證他字第352號登記簿第北2冊第63頁第000383號,,
R0193,財團法人寺廟,財團法人台北市中和堂,,北投區,奇岩里,佛教,王祖欽,28962162,奇岩路151號,奇岩路,,,,151號,,北投區奇岩里奇岩路151號,25.1304599,121.50782,121.5071029,25.13059561,301133.117,2780338.772,農曆11月15日|農曆11月16日|農曆11月17日|,101證他字第38號登記簿第21冊第23頁第423號,,
