SNO,RELIGION_TYPE,CB_NAME,CB_SNAME,PTNAME1,V_NAME,CB_REG_TITLE,PRESIDENT_NAME,CB_TEL,TOTAL_ADDR,R_STREET,R_SECTION,R_LANE,R_ALLEY,R_NO,R_OTHER,TOTAL_ADDR_rebuild,WGS84_Y_rebuild,WGS84_X_rebuild,WGS84_X,WGS84_Y,TM97_X,TM97_Y,DATA_STR,REG_NO,CB_PRESIDENT_NAME,total_addr2
R0025,未成立財團法人寺廟,大橋頭福德廟,,大同區,景星里,道教,劉丁柱,25946697,迪化街2段22號,迪化街,2段,,,22號,,大同區景星里迪化街2段22號,25.0638831,121.5092222,121.5741203,25.05035404,301390.6407,2772958.54,農曆2月2日|農曆8月15日|,北市民宗字第10431307500號,,
R0026,未成立財團法人寺廟,劍童廟,,松山區,復勢里,道教,林水永,25791605,八德路3段199巷1號,八德路,3段,199巷,,1號,,松山區復勢里八德路3段199巷1號,25.0492059,121.5564034,121.5563857,25.04846138,306140.101,2771260.685,農曆2月26日|,北市民宗字第10333336400號,,
R0028,未成立財團法人寺廟,松山慈惠堂,,信義區,中行里,道教,李郭葉子,27261735,福德街251巷33號,福德街,,251巷,,33號,,信義區中行里福德街251巷33號,25.0365198,121.5874838,121.5875083,25.03654482,309286.192,2769953.942,農曆8月24日|,北市民宗字10331731700號函,,
R0031,未成立財團法人寺廟,真光禪寺,,信義區,中行里,佛教,郭龍宗,27268688,福德街221巷200號,福德街,,221巷,,200號,,信義區中行里福德街221巷200號,25.0319844,121.5872537,121.5873568,25.03194226,309273.105,2769444.132,農曆4月8日|,北市民宗字第10330023800號,,
R0032,未成立財團法人寺廟,興雅福德宮,,信義區,敦厚里,道教,林水勝,27466032,永吉路30巷30號,永吉路,,30巷,,30號,,信義區敦厚里永吉路30巷30號,25.0445431,121.5686602,121.5687042,25.04465034,307384.857,2770843.677,農曆2月2日|農曆8月15日|,北市民宗字第10330947300號,,
R0034,未成立財團法人寺廟,松山靈隱寺,,信義區,松隆里,佛教,許港中,27281139、27269408,松山路臨677之15號,松山路,,,,臨677之15號,,信義區松隆里松山路臨677之15號,25.0250149,121.581444,121.5814456,25.02503344,308679.805,2768676.288,農曆2月19日|農曆6月19日|農曆9月19日|,北市民宗字第10332538200號,,
R0036,未成立財團法人寺廟,真聖堂,,大同區,朝陽里,佛教,張謝惠芳,25568206,,延平北路,2段,61巷,,16號,,大同區朝陽里延平北路2段61巷16號,25.0554591,121.5121658,121.5121031,25.05547811,301668.839,2772020.173,農曆4月14日|,北市民宗字第10333280500號,,
R0037,未成立財團法人寺廟,石泉巖,,信義區,黎忠里,佛教,黃種釧,27351546,臥龍街431巷50號,臥龍街,,431巷,,50號,,信義區黎忠里臥龍街431巷50號,25.0221379,121.547111,121.5121031,25.05547811,307423.138,2767234.263,農曆1月9日|農曆7月9日|,,,
R0038,未成立財團法人寺廟,狀元廟,,信義區,惠安里,道教,林石園,27223572,吳興街336巷52號,吳興街,,336巷,,52號,,信義區惠安里吳興街336巷52號,25.024967,121.565366,121.5121031,25.05547811,307056.3567,2768662.479,農曆2月24日|農曆7月16日|,,,
R0039,未成立財團法人寺廟,代天殿靈雲宮,,信義區,三犁里,道教,陳傳英,27228160,信義路5段150巷22弄43號,信義路,5段,150巷,22弄,43號,,信義區三犁里信義路5段150巷22弄43號,25.02761,121.571265,121.5121031,25.05547811,307635.7886,2768954.703,農曆8月12日|,北市民三字第09430822800號,,
R0040,未成立財團法人寺廟,三張犁福佑宮,,信義區,三犁里,道教,周賢清,27295707,信義路5段150巷18之1號,信義路,5段,150巷,,18之1號,,信義區三犁里信義路5段150巷18之1號,25.028035,121.569028,121.5689973,25.02795968,307422.176,2768995.038,農曆8月12日|,北市民宗字第10331627000號,,
R0041,財團法人寺廟,財團法人台北市圓通學苑,,大安區,錦華里,佛教,游月台,23217983,潮州街58之1號,潮州街,,,,58之1號,,大安區錦華里潮州街58之1號,25.0292094,121.5236371,121.5235847,25.02923194,302838.636,2769117.5,農曆4月8日|,103證他字第572號登記簿第26冊第53頁第469號,,
R0042,未成立財團法人寺廟,觀音禪院,觀音禪院,大安區,民炤里,佛教,李林泉,27015918,新生南路1段137巷 6號,新生南路,1段,137巷,, 6號,,大安區民炤里新生南路1段137巷 6號,25.0369351,121.5333001,121.5332828,25.03695022,303813.942,2769976.233,農曆2月19日|農曆6月19日|農曆9月19日|,北市民三字第09331854900號,,
R0043,財團法人寺廟,財團法人台北市白雲禪寺,白雲禪寺,大安區,義安里,佛教,賴美麗,27043214,,安和路,2段,20巷,,2號,,大安區義安里安和路2段20巷2號,25.0322614,121.5521868,121.5520642,25.03202081,305711.441,2769437.827,農曆6月24日|,102證他字第1095號登記簿第53冊第39頁第1268號,,
R0044,未成立財團法人寺廟,龍雲寺,,大同區,景星里,佛教,陳竹林,25948980,,延平北路,3段,18巷,,1號,,大同區景星里延平北路3段18巷1號,25.0639842,121.5107951,121.5107692,25.06407457,301530.702,2772971.911,農曆4月8日|,北市民宗字第10331707600號,,
R0045,未成立財團法人寺廟,福興宮,福興宮,大安區,光信里,道教,蕭金水,27037651,延吉街 263號,延吉街,,,, 263號,,大安區光信里延吉街 263號,25.0339961,121.5570086,121.5107692,25.06407457,306205.5558,2769660.484,農曆2月2日|,北市民宗字第10332435600號,,
R0046,未成立財團法人寺廟,福景宮,福景宮,大安區,通化里,道教,陳秋南,27014369、23252301,光復南路698號,光復南路,,,,698號,,大安區通化里光復南路698號,25.0297093,121.5571721,121.5572338,25.02968653,306234.214,2769181.406,農曆2月22日|農曆2月26日|,北市民宗字第10333260200號,,
R0047,未成立財團法人寺廟,木柵集應廟,,文山區,木柵里,道教,張萬福,29396572,保儀路76號,保儀路,,,,76號,,文山區木柵里保儀路76號,24.9873579,121.568494,121.5684803,24.9873699,307388.859,2764498.92,農曆2月1日(保儀尊王誕辰)|,北市民宗字第10430091300號,,
R0048,未成立財團法人寺廟,法雲寺,法雲寺,大安區,民炤里,佛教,黃承玉,27086600,新生南路1段165巷5之1號,新生南路,1段,165巷,,5之1號,,大安區民炤里新生南路1段165巷5之1號,25.0343423,121.5335244,121.533514,25.03428684,303838.452,2769681.346,農曆4月8日|,北市民宗字第10330859200號,,
R0049,財團法人寺廟,財團法人台北市天德堂總堂,天德堂,大安區,黎和里,天德教,張瑾華,23771332,和平東路3段596號,和平東路,3段,,,596號,,大安區黎和里和平東路3段596號,25.0130443,121.5633931,121.5621468,25.01398173,306737.213,2767443.951,農曆5月13日|農曆12月8日|,101證他字第1225號登記簿第72冊第52頁第1831號,,
R0050,未成立財團法人寺廟,大安車層景福宮,景福宮,大安區,華聲里,道教,詹正宗,27528693、27311988,延吉街77號,延吉街,,,,77號,,大安區華聲里延吉街77號,25.0440356,121.5540213,121.5621468,25.01398173,305894.3402,2770776.982,農曆2月2日|,北市民宗字第10332485800號,,
R0051,未成立財團法人寺廟,九龍蓮社,九龍蓮社,大安區,德安里,佛教,廖文招,27085973、27018152,四維路52巷1之1及3號,四維路,,52巷,,1之1及3號,,大安區德安里四維路52巷1之1及3號,25.03512,121.5480428,121.5621468,25.01398173,305277.8567,2769780.745,農曆4月8日|,北市民宗字第10330164200號,,
R0052,未成立財團法人寺廟,一心寺,一心寺,大安區,龍圖里,佛教,林志祥,27075506,,建國南路,2段,11巷,,6號,,大安區龍圖里建國南路2段11巷6號,25.032807,121.5383815,121.538361,25.032784,304328.246,2769516.792,農曆4月8日|,北市民宗字第10333293500號,,
R0053,財團法人寺廟,財團法人台北行天宮,,中山區,行政里,道教,葉文堂,2502-7924,民權東路2段109號,民權東路,2段,,,109號,,中山區行政里民權東路2段109號,25.0628658,121.5338733,121.5335016,25.06275335,303824.759,2772834.434,農曆6月24日(關聖帝君聖誕)|,102證他字第1419號登記簿第22冊第37頁第345號,,
R0054,財團法人寺廟,財團法人台北市蓮友念佛團,,中山區,力行里,佛教,金子源,2771-4544;2772-5174,朱崙街63號,朱崙街,,,,63號,,中山區力行里朱崙街63號,25.0499767,121.5421974,121.5419237,25.05007713,304680.097,2771433.694,農曆11月17日|,102證他字第110號登記簿第8冊第15頁第110號,,
R0055,未成立財團法人寺廟,平光寺,,大同區,重慶里,佛教,性融,25940479,敦煌路78號,敦煌路,,,,78號,,大同區重慶里敦煌路78號,25.0756223,121.5182712,121.5177506,25.07566241,302230.137,2774258.12,農曆4月8日|,北市民宗字第10331731800號,,
R0056,財團法人寺廟,財團法人台北市永靜廟,,中山區,集英里,道教,葉金福,2541-6038,,錦西街,,,,9號,,中山區集英里錦西街9號,25.060624,121.52151,121.52144,25.06042951,302608.854,2772572.269,農曆4月14日|,103證他字第467號登記簿第80冊第31頁第2063號,,
R0057,未成立財團法人寺廟,和德祠,,大同區,永樂里,道教,李林世津,25550172,甘谷街42號,甘谷街,,,,42號,,大同區永樂里甘谷街42號,25.052855,121.510604,121.5106155,25.05283413,301519.856,2771726.765,農曆2月2日|,北市民宗字第10330051500號,,
R0058,財團法人寺廟,財團法人台北市臨濟護國禪寺,,中山區,圓山里,佛教,蕭鴻川,2594-8308,,酒泉街,,5巷,,27號,,中山區圓山里酒泉街5巷27號,25.0707213,121.519239,121.5106155,25.05283413,302384.4592,2773715.927,,99證他字第1132號登記簿第30冊第59頁第592號,,
R0059,財團法人寺廟,財團法人台北市雙境廟,,中山區,松江里,道教,康車,2502-6491,松江路235巷22號,松江路,,235巷,,22號,,中山區松江里松江路235巷22號,25.0587063,121.5341515,121.5342008,25.05877499,303897.029,2772394.055,農曆7月29日|,104證他字第194號登記簿第32冊第25頁第635號,,
R0060,財團法人寺廟,財團法人台北市雙福宮,,大同區,雙連里,佛教,林庭水,25536831,雙連街37號,雙連街,,,,37號,,大同區雙連里雙連街37號,25.0587634,121.5190819,121.5190621,25.05879786,302369.628,2772390.612,農曆2月3日(福德大會)|,102證他字第72號登記簿第北4冊第77頁第001081號,,
R0061,財團法人寺廟,財團法人台北市中庄仔福德宮,,中山區,中庄里,道教,林春裕,2541-3031,,吉林路,,236巷,,35號,,中山區中庄里吉林路236巷35號,25.0594309,121.528966,121.5290065,25.05944915,303372.669,2772466.663,,102證他字第955號登記簿第22冊第51頁第352號,,
R0062,未成立財團法人寺廟,樟山寺,樟山寺,文山區,老泉里,佛教,張萬福,29398966、29361116,老泉街45巷29號,老泉街,,45巷,,29號,,文山區老泉里老泉街45巷29號,24.972993,121.5793766,121.5793502,24.9730204,308492.996,2762914.017,農曆2月19日(觀世音菩薩誕辰)|農曆6月19日(觀世音菩薩出家紀念)|農曆9月19日(觀世音菩薩得道紀念)|農曆11月26日(年度圓登法會)|,北市民宗字第10430608400號,,
R0063,財團法人寺廟,財團法人台北市朱厝崙福聚宮,,中山區,力行里,道教,林昭卿,2721-5792,,龍江路,,55巷,,21號,,中山區力行里龍江路55巷21號,25.0495507,121.5421868,121.5420328,25.04955461,304691.343,2771375.856,農曆2月2日|農曆8月14日|,100證他字第290號登記簿第23冊第23頁第365號,,
R0064,財團法人寺廟,財團法人台北市醒心宮,,大同區,南芳里,道教,許金勝,25535492,,迪化街,1段,307巷,,9號,,大同區南芳里迪化街1段307巷9號,25.0621222,121.5095336,121.5095472,25.06212849,301408.235,2772755.903,農曆4月14日|,103證他字第286號登記簿第北2冊第59頁第000367號,,
R0065,未成立財團法人寺廟,明德宮,,文山區,老泉里,道教,黃輝雄,29394451,,老泉街,,45巷,,27之1號,,文山區老泉里老泉街45巷27之1號,24.969869,121.578842,121.578795,24.97001102,308438.345,2762580.415,農曆8月12日(楊府千歲誕辰)|,北市民宗字第10333207600號,,
R0066,財團法人寺廟,財團法人台北市景福宮,,中山區,圓山里,道教,陳萬生,25969325,德惠街11號,德惠街,,,,11號,,中山區圓山里德惠街11號,25.0669396,121.5255473,121.5255007,25.06675592,303015.83,2773274.613,農曆2月18日|,103證他字第247號登記簿第11冊第19頁第157號,,
